question,answer
Who is William Berry Jr.?,"They have a son , William Berry Jr. , and a daughter , Mrs. J. M. Cheshire of Griffin ."
What is Griffin?,"They have a son , William Berry Jr. , and a daughter , Mrs. J. M. Cheshire of Griffin ."
Who is Opelika?,"It listed his wife's age as 74 and place of birth as Opelika , Ala. ."
What is Hartsfield?,The Hartsfield home is at 637 E. Pelham Rd. Aj .
Who is Henry?,Henry L. Bowden was listed on the petition as the mayor's attorney .
Who is Bowden?,Henry L. Bowden was listed on the petition as the mayor's attorney .
What is Hartsfield?,"Hartsfield has been mayor of Atlanta , with exception of one brief interlude , since 1937 ."
What is Atlanta?,"Hartsfield has been mayor of Atlanta , with exception of one brief interlude , since 1937 ."
Who is Ivan Allen Jr.?,"He will be succeeded by Ivan Allen Jr. , who became a candidate in the Sept. 13 primary after Mayor Hartsfield announced that he would not run for reelection ."
Who is Hartsfield?,"He will be succeeded by Ivan Allen Jr. , who became a candidate in the Sept. 13 primary after Mayor Hartsfield announced that he would not run for reelection ."
What is Georgia?,"Georgia Republicans are getting strong encouragement to enter a candidate in the 1962 governor's race , a top official said Wednesday ."
Who is Robert Snodgrass?,"Robert Snodgrass , state GOP chairman , said a meeting held Tuesday night in Blue Ridge brought enthusiastic responses from the audience ."
What is GOP?,"Robert Snodgrass , state GOP chairman , said a meeting held Tuesday night in Blue Ridge brought enthusiastic responses from the audience ."
What is Blue?,"Robert Snodgrass , state GOP chairman , said a meeting held Tuesday night in Blue Ridge brought enthusiastic responses from the audience ."
What is State?,State Party Chairman James W. Dorsey added that enthusiasm was picking up for a state rally to be held Sept. 8 in Savannah at which newly elected Texas Sen. John Tower will be the featured speaker .
Who is Party?,State Party Chairman James W. Dorsey added that enthusiasm was picking up for a state rally to be held Sept. 8 in Savannah at which newly elected Texas Sen. John Tower will be the featured speaker .
Who is James W. Dorsey?,State Party Chairman James W. Dorsey added that enthusiasm was picking up for a state rally to be held Sept. 8 in Savannah at which newly elected Texas Sen. John Tower will be the featured speaker .
What is Savannah?,State Party Chairman James W. Dorsey added that enthusiasm was picking up for a state rally to be held Sept. 8 in Savannah at which newly elected Texas Sen. John Tower will be the featured speaker .
Who is Texas?,State Party Chairman James W. Dorsey added that enthusiasm was picking up for a state rally to be held Sept. 8 in Savannah at which newly elected Texas Sen. John Tower will be the featured speaker .
Who is John Tower?,State Party Chairman James W. Dorsey added that enthusiasm was picking up for a state rally to be held Sept. 8 in Savannah at which newly elected Texas Sen. John Tower will be the featured speaker .
What is Blue?,"In the Blue Ridge meeting , the audience was warned that entering a candidate for governor would force it to take petitions out into voting precincts to obtain the signatures of registered voters ."
Who is Sam Caldwell?,"Sam Caldwell , State Highway Department public relations director , resigned Tuesday to work for Lt. Gov. Garland Byrd's campaign ."
What is State Highway Department?,"Sam Caldwell , State Highway Department public relations director , resigned Tuesday to work for Lt. Gov. Garland Byrd's campaign ."
Who is Garland Byrd?,"Sam Caldwell , State Highway Department public relations director , resigned Tuesday to work for Lt. Gov. Garland Byrd's campaign ."
What is Caldwell?,Caldwell's resignation had been expected for some time .
Who is Rob Ledford?,"He will be succeeded by Rob Ledford of Gainesville , who has been an assistant more than three years ."
What is Gainesville?,"He will be succeeded by Rob Ledford of Gainesville , who has been an assistant more than three years ."
What is Caldwell?,"When the gubernatorial campaign starts , Caldwell is expected to become a campaign coordinator for Byrd ."
Who is Byrd?,"When the gubernatorial campaign starts , Caldwell is expected to become a campaign coordinator for Byrd ."
What is Georgia Legislature?,The Georgia Legislature will wind up its 1961 session Monday and head for home -- where some of the highway bond money it approved will follow shortly .
What is Senate?,"Before adjournment Monday afternoon , the Senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be made ."
Who is Vandiver?,Gov. Vandiver is expected to make the traditional visit to both chambers as they work toward adjournment .
What is Vandiver?,Vandiver likely will mention the $100 million highway bond issue approved earlier in the session as his first priority item .
What is State Highway Department?,"Meanwhile , it was learned the State Highway Department is very near being ready to issue the first $30 million worth of highway reconstruction bonds ."
What is Georgia?,"The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of Georgia's most heavily traveled highways ."
What is Highway Department?,A Highway Department source said there also is a plan there to issue some $3 million to $4 million worth of Rural Roads Authority bonds for rural road construction work .
What is Rural Roads?,A Highway Department source said there also is a plan there to issue some $3 million to $4 million worth of Rural Roads Authority bonds for rural road construction work .
What is Rural Roads?,The department apparently intends to make the Rural Roads Authority a revolving fund under which new bonds would be issued every time a portion of the old ones are paid off by tax authorities .
What is Legislature?,Vandiver opened his race for governor in 1958 with a battle in the Legislature against the issuance of $50 million worth of additional rural roads bonds proposed by then Gov. Marvin Griffin .
Who is Marvin Griffin?,Vandiver opened his race for governor in 1958 with a battle in the Legislature against the issuance of $50 million worth of additional rural roads bonds proposed by then Gov. Marvin Griffin .
What is Highway Department?,"The Highway Department source told The Constitution , however , that Vandiver has not been consulted yet about the plans to issue the new rural roads bonds ."
Who is Vandiver?,"The Highway Department source told The Constitution , however , that Vandiver has not been consulted yet about the plans to issue the new rural roads bonds ."
Who is Schley?,Schley County Rep. B. D. Pelham will offer a resolution Monday in the House to rescind the body's action of Friday in voting itself a $10 per day increase in expense allowances .
What is County?,Schley County Rep. B. D. Pelham will offer a resolution Monday in the House to rescind the body's action of Friday in voting itself a $10 per day increase in expense allowances .
What is House?,Schley County Rep. B. D. Pelham will offer a resolution Monday in the House to rescind the body's action of Friday in voting itself a $10 per day increase in expense allowances .
Who is Pelham?,Pelham said Sunday night there was research being done on whether the `` quickie '' vote on the increase can be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought .
Who is Pelham?,"While emphasizing that technical details were not fully worked out , Pelham said his resolution would seek to set aside the privilege resolution which the House voted through 87-31 ."
What is House?,"While emphasizing that technical details were not fully worked out , Pelham said his resolution would seek to set aside the privilege resolution which the House voted through 87-31 ."
What is Senate?,A similar resolution passed in the Senate by a vote of 29-5 .
Who is Pelham?,Pelham pointed out that Georgia voters last November rejected a constitutional amendment to allow legislators to vote on pay raises for future Legislature sessions .
What is Georgia?,Pelham pointed out that Georgia voters last November rejected a constitutional amendment to allow legislators to vote on pay raises for future Legislature sessions .
Who is Jackson County?,"A veteran Jackson County legislator will ask the Georgia House Monday to back federal aid to education , something it has consistently opposed in the past ."
What is Commerce?,"Rep. Mac Barber of Commerce is asking the House in a privilege resolution to `` endorse increased federal support for public education , provided that such funds be received and expended '' as state funds ."
What is House?,"Rep. Mac Barber of Commerce is asking the House in a privilege resolution to `` endorse increased federal support for public education , provided that such funds be received and expended '' as state funds ."
What is Barber?,"Barber , who is in his 13th year as a legislator , said there `` are some members of our congressional delegation in Washington who would like to see it ( the resolution ) passed '' ."
What is Washington?,"Barber , who is in his 13th year as a legislator , said there `` are some members of our congressional delegation in Washington who would like to see it ( the resolution ) passed '' ."
What is Georgia?,But he added that none of Georgia's congressmen specifically asked him to offer the resolution .
Who is Barber?,"The resolution , which Barber tossed into the House hopper Friday , will be formally read Monday ."
What is House?,"The resolution , which Barber tossed into the House hopper Friday , will be formally read Monday ."
What is Congress?,"It says that `` in the event Congress does provide this increase in federal funds '' , the State Board of Education should be directed to `` give priority '' to teacher pay raises ."
What is State Board?,"It says that `` in the event Congress does provide this increase in federal funds '' , the State Board of Education should be directed to `` give priority '' to teacher pay raises ."
What is Education?,"It says that `` in the event Congress does provide this increase in federal funds '' , the State Board of Education should be directed to `` give priority '' to teacher pay raises ."
Who is Miller County?,"-- After a long , hot controversy , Miller County has a new school superintendent , elected , as a policeman put it , in the `` coolest election I ever saw in this county '' ."
Who is Harry Davis?,"The new school superintendent is Harry Davis , a veteran agriculture teacher , who defeated Felix Bush , a school principal and chairman of the Miller County Democratic Executive Committee ."
Who is Felix Bush?,"The new school superintendent is Harry Davis , a veteran agriculture teacher , who defeated Felix Bush , a school principal and chairman of the Miller County Democratic Executive Committee ."
Who is Miller County Democratic Executive Committee?,"The new school superintendent is Harry Davis , a veteran agriculture teacher , who defeated Felix Bush , a school principal and chairman of the Miller County Democratic Executive Committee ."
Who is Davis?,"Davis received 1,119 votes in Saturday's election , and Bush got 402 ."
Who is Bush?,"Davis received 1,119 votes in Saturday's election , and Bush got 402 ."
Who is Carey Williams?,"Ordinary Carey Williams , armed with a pistol , stood by at the polls to insure order ."
